name,playerID,teamID,year,HR,AB,mean_exit_velo,mean_launch_angle,launch_angle_75,launch_angle_70,launch_angle_65,exit_velo_75,exit_velo_80,exit_velo_85,BPF
Jose Abreu,abreujo02,CHA,2017,33,621,90.54187866927593,11.277886497064584,27,23,20,102.6,104.3,105.75,98
Jose Altuve,altuvjo01,HOU,2017,24,590,86.26577540106952,9.490196078431369,27,24,20,97.3,98.6,100.5,91
Tim Anderson,anderti01,CHA,2017,17,587,85.47488262910798,7.877934272300463,23,20.5,17,97.625,99.6,101.3,98
Elvis Andrus,andruel01,TEX,2017,20,643,86.52123411978222,7.798548094373861,26,22,18,97.3,99,100.9,107
Nolan Arenado,arenano01,COL,2017,37,606,88.95885714285714,17.693333333333317,34,31,27,99.1,100.5,102,115
Jose Bautista,bautijo02,TOR,2017,23,587,88.21021377672209,16.973871733966753,36,33,29,99.3,100.9,102.7,105
Jose Bautista,bautijo02,TOR,2017,23,587,108.2,32,32,32,32,108.2,108.2,108.2,105
Andrew Benintendi,beninan01,BOS,2017,20,573,87.48162839248434,14.655532359081429,33,28.599999999999966,24,98.1,100,101.3,105
Mookie Betts,bettsmo01,BOS,2017,24,628,88.45892857142857,14.260714285714279,32,26.299999999999955,23,99.12499999999999,100.9,102.815,105
Charlie Blackmon,blackch02,COL,2017,37,644,87.3507434944238,13.492565055762078,31,27,24,99.37500000000001,100.56,102.2,115
Xander Bogaerts,bogaexa01,BOS,2017,10,571,87.26503198294243,8.206823027718555,26,21,17,97.6,99.08000000000001,101.38,105
Alex Bregman,bregmal01,HOU,2017,19,556,87.52593984962407,16.29887218045114,33,29.69999999999999,25.150000000000034,97.9,99.3,100.6,91
Lorenzo Cain,cainlo01,KCA,2017,15,584,89.13265306122449,10.328571428571433,27,21,18,99.57499999999999,102.11999999999999,103.92999999999999,102
Kole Calhoun,calhoko01,LAA,2017,19,569,88.20421286031042,12.1019955654102,29,26,22,98.15,99.5,100.95,96
Robinson Cano,canoro01,SEA,2017,23,592,90.26303501945526,7.552529182879365,23,20,17,101.3,103.14,104.2,97
Nick Castellanos,casteni01,DET,2017,26,614,89.07352941176471,14.186974789915968,28.25,26,24,99.3,100.7,102,103
Nelson Cruz,cruzne02,SEA,2017,39,556,93.24127358490566,12.410377358490567,30,26,23,105.82499999999999,107.6,109.755,97
Khris Davis,daviskh01,OAK,2017,43,566,92.165445026178,13.939790575916234,31,27,24,103.6,104.4,105.585,96
Corey Dickerson,dickeco01,TBA,2017,27,588,87.17540229885057,13.94942528735632,31,27,24,98.05,99.61999999999999,101.49,94
Brian Dozier,doziebr01,MIN,2017,34,617,87.6888655462185,16.634453781512605,36,32,28.75,97.9,98.8,100.27499999999999,99
Adam Duvall,duvalad01,CIN,2017,31,587,87.26964705882354,21.05647058823529,39,34,30,97.6,99.2,100.64,100
Edwin Encarnacion,encared01,CLE,2017,38,554,89.26981566820277,16.86405529953917,33,30,26.44999999999999,100.67500000000001,102.4,104.405,106
Alcides Escobar,escobal02,KCA,2017,6,599,83.66372745490982,13.673346693386774,31,28,24,93.7,95.5,97.02000000000001,102
Maikel Franco,francma02,PHI,2017,24,575,88.82132505175984,11.44099378881988,32,25,21,99.15,101.66,104.57,96
Freddy Galvis,galvifr01,PHI,2017,12,608,85.88785425101214,14.811740890688254,34,29.099999999999966,24.44999999999999,94.6,96.5,98,96
Brett Gardner,gardnbr01,NYA,2017,21,594,85.9204280155642,9.949416342412448,27,24,20,96.5,97.7,99.8,104
Paul Goldschmidt,goldspa01,ARI,2017,36,558,91.38607305936073,11.792237442922373,30,26,21,102,103.2,104.645,110
Dee Strange-Gordon,gordode01,MIA,2017,2,653,81.64396226415094,2.2391713747645943,19,16,13,91.475,92.82,94.16499999999999,93
Billy Hamilton,hamilbi02,CIN,2017,4,582,80.20343249427918,10.272311212814644,27,23,20,89.60000000000001,91,93.56,100
Ryon Healy,healyry01,OAK,2017,25,576,88.19885321100918,12.676605504587156,29.25,25,23,100.4,102.1,103.4,96
Eric Hosmer,hosmeer01,KCA,2017,25,603,89.72370517928287,3.619521912350602,19,15,13,101.6,103.5,105.5,102
Ender Inciarte,inciaen01,ATL,2017,11,662,82.18476702508961,9.57706093189964,26,22,20,92.07499999999999,93.46000000000001,94.7,98
Adam Jones,jonesad01,BAL,2017,26,597,86.76260330578512,11.842975206611566,29,26,22,97.2,99.06000000000002,101.6,98
Ian Kinsler,kinslia01,DET,2017,22,551,86.15172413793104,19.400862068965512,36,32.099999999999966,29,96.4,97.9,99.7,103
DJ LeMahieu,lemahdj01,COL,2017,8,609,89.21202872531418,3.310592459605025,18,15,12,99.8,101.1,102.46000000000001,115
Francisco Lindor,lindofr01,CLE,2017,33,651,88.71483420593368,13.975609756097558,32,29,25,98.7,100.1,102.03999999999999,106
Evan Longoria,longoev01,TBA,2017,20,613,86.73837209302326,12.64922480620155,32.25,27,22.75,96.92500000000001,98.7,99.975,94
Jed Lowrie,lowrije01,OAK,2017,14,567,88.99494736842105,18.623157894736845,33,29,26,97.5,98.9,100.2,96
Manny Machado,machama01,BAL,2017,33,630,90.94370229007633,13.446564885496192,32.25,29,24,103.05,105.44,107.055,98
Nick Markakis,markani01,ATL,2017,8,593,88.34490644490644,8.74636174636175,25,21,17,97.9,99.4,100.6,98
Nomar Mazara,mazarno01,TEX,2017,20,554,89.09382151029749,11.405034324942793,31,27,21,99.5,102.08,104.75999999999999,107
Andrew McCutchen,mccutan01,PIT,2017,28,570,88.4099557522124,14.25,32,28,24,99.42500000000001,100.98,102.57,99
Whit Merrifield,merriwh01,KCA,2017,19,587,87.42800788954635,16.311637080867847,32,28,26,96.6,98,99.3,102
Kendrys Morales,moralke01,TOR,2017,28,557,91.11733021077283,9.440281030444963,27,23.19999999999999,19.900000000000034,101.75,103.5,105.3,105
Mike Moustakas,moustmi01,KCA,2017,38,555,87.29619450317125,17.59196617336152,35,31,28,98.4,100.4,103.32,102
Wil Myers,myerswi01,SDN,2017,30,567,89.40692307692308,15.430769230769235,33,29.299999999999955,25,100.8,102.2,103.965,94
Rougned Odor,odorro01,TEX,2017,30,607,88.746875,15.609375,37,32,27.55000000000001,99.025,100.8,102.685,107
Marcell Ozuna,ozunama01,MIA,2017,37,613,90.87371794871795,10.164529914529918,27,22,18.55000000000001,103.85,105.3,107.1,93
Kevin Pillar,pillake01,TOR,2017,16,587,85.87886178861788,13,31,27,23,96.8,98,100.16999999999999,105
Albert Pujols,pujolal01,LAA,2017,23,593,88.65224171539961,13.647859922178988,31,28,22.44999999999999,99,100.76,102.02,96
Jose Ramirez,ramirjo01,CLE,2017,29,585,88.19009345794393,14.90467289719626,31,27,23,98.55,99.9,101.2,106
Anthony Rizzo,rizzoan01,CHN,2017,32,572,88.15369649805447,15.079766536964977,33,28,22.44999999999999,100.65,102,103.4,102
Carlos Santana,santaca01,CLE,2017,23,571,88.43138832997988,12.609657947686117,33,28.19999999999999,23,100.9,102.6,104.16,106
Jonathan Schoop,schoojo01,BAL,2017,32,622,87.81334702258727,12.96919917864476,29,24,21.900000000000034,99.8,101.9,104,98
Kyle Seager,seageky01,SEA,2017,27,578,88.16186440677966,20.55932203389831,37,34.69999999999999,31,98.62499999999999,99.6,100.8,97
Andrelton Simmons,simmoan01,LAA,2017,14,589,86.14923664122138,7.895038167938929,27,21,18,96.525,98.2,99.5,96
Justin Smoak,smoakju01,TOR,2017,38,560,89.64041570438799,17.143187066974594,33,30,27,100.8,102,103.32,105
Giancarlo Stanton,stantmi03,MIA,2017,59,597,92.0096551724138,11.229885057471257,29,25,22,107.1,109.60000000000002,111.6,93
Mark Trumbo,trumbma01,BAL,2017,23,559,89.79731051344743,12.742647058823525,35,30,25,101.5,103.84,106.98,98
Joey Votto,vottojo01,CIN,2017,36,559,87.54137214137215,14.079002079002079,30,28,25,97.2,98.5,99.7,100
Christian Yelich,yelicch01,MIA,2017,18,602,90.6047311827957,4.58279569892473,20,16,12,102.4,104.11999999999999,105.6,93
Ozzie Albies,albieoz01,ATL,2018,24,639,86.62319109461967,15.741635687732336,35,29,26,96.55,97.92,99.26,100
Brian Anderson,anderbr06,MIA,2018,11,590,90.20995670995671,8.705627705627705,25.75,21,17,100.9,102.3,103.885,89
Tim Anderson,anderti01,CHA,2018,20,567,85.8576112412178,10.819248826291085,29,26,22,95.85,97.28,99.2,97
Miguel Andujar,andujmi01,NYA,2018,27,573,89.11372950819673,11.80327868852459,30,25,21,99.72500000000001,100.86,102.395,104
Nolan Arenado,arenano01,COL,2018,38,590,89.9535294117647,15.001960784313727,30,27,24,100.07499999999999,101.2,102.2,117
Javier Baez,baezja01,CHN,2018,34,606,90.17927107061503,9.7630979498861,27.5,24,19.69999999999999,102.2,103.7,105.1,107
Cody Bellinger,bellico01,LAN,2018,25,557,89.85634743875279,16.18485523385301,36,31,27.19999999999999,100.9,101.7,102.98,98
Andrew Benintendi,beninan01,BOS,2018,16,579,88.37447216890595,12.9616122840691,30,27,23,97.4,99.6,101.2,104
Charlie Blackmon,blackch02,COL,2018,29,626,87.5534090909091,12.439393939393941,28.25,25,22,98.9,100.1,102,117
Michael Brantley,brantmi02,CLE,2018,17,570,89.9516504854369,9.271844660194173,25,21,17,98.55,100.02000000000001,101.6,104
Alex Bregman,bregmal01,HOU,2018,31,594,89.20488721804512,16.49248120300752,34,29,26,99.2,100.18,101.235,96
Matt Carpenter,carpema01,SLN,2018,36,564,90.08790123456791,20.940740740740736,35,32,29.600000000000023,100.1,101.2,102.2,97
Nick Castellanos,casteni01,DET,2018,23,620,89.55974576271187,15.19279661016949,29,25,23,99,100,101.535,101
Starlin Castro,castrst01,MIA,2018,12,593,88.45136842105263,8.402953586497887,25.75,22,18,98.95,100.3,101.79,89
Shin-Soo Choo,choosh01,TEX,2018,21,560,89.35356265356266,6.299754299754301,25,22,18,100.05,101.68,103.31,112
Khris Davis,daviskh01,OAK,2018,48,576,92.4631067961165,17.97815533980582,35,30,27,102.5,104.4,106,98
Ian Desmond,desmoia01,COL,2018,22,555,90.10022624434389,0.3665158371040697,19,15,11,100.975,102.08,103.485,117
Freddie Freeman,freemfr01,ATL,2018,23,618,89.1360396039604,14.366336633663366,28,25,23,98.9,100.2,101.64,100
Freddy Galvis,galvifr01,SDN,2018,13,602,88.1375,13.69866071428571,32,27.899999999999977,23.55000000000001,95.85,97.3,98.7,94
Scooter Gennett,gennesc01,CIN,2018,23,584,87.25382978723404,13.6865671641791,30,26.599999999999966,24,97.07499999999999,98.14,99.6,103
Paul Goldschmidt,goldspa01,ARI,2018,33,593,90.80720720720721,15.621621621621625,32,28,24,102.4,103.5,104.655,108
Dee Strange-Gordon,gordode01,SEA,2018,4,556,82.50767590618337,5.806866952789702,21,19,15.25,91.7,92.84,94.1,94
Mitch Haniger,hanigmi01,SEA,2018,26,596,90.16973684210527,12.692982456140358,30,26,22,101.1,103,104.35000000000001,94
Bryce Harper,harpebr03,WAS,2018,34,550,90.85592783505155,14.16752577319588,31.25,27,24,101.62499999999999,103.5,105.5,106
Cesar Hernandez,hernace02,PHI,2018,15,605,85.70894495412844,11.320276497695858,29,25,21,96,97.5,99.57499999999999,102
Odubel Herrera,herreod01,PHI,2018,22,550,86.5903073286052,13.12410501193317,33,28,23,98,99.96000000000001,102.37,102
Rhys Hoskins,hoskirh01,PHI,2018,34,558,89.00514705882352,22.61519607843137,41,37,32.55000000000001,99.4,100.72,102.3,102
Eric Hosmer,hosmeer01,SDN,2018,18,613,88.74665226781858,-1.490280777537793,16,13,10,100.94999999999999,103.22,104.8,94
Ender Inciarte,inciaen01,ATL,2018,10,597,84.1489443378119,10.783109404990391,29,25,21,93.4,94.8,96.1,100
Adam Jones,jonesad01,BAL,2018,15,580,88.22505133470226,13.179012345679013,29,25,22,98.25,99.7,100.6,96
Francisco Lindor,lindofr01,CLE,2018,38,661,90.59734982332155,14.710247349823325,31,26,23,100.3,102.3,103.85,104
Jed Lowrie,lowrije01,OAK,2018,23,596,88.94916317991633,17.200836820083683,34,30,27.05000000000001,97.77499999999999,98.8,100.04499999999999,98
Trey Mancini,mancitr01,BAL,2018,24,582,89.89792626728111,5.389400921658983,22.75,19,15,101.2,102.84,104.4,96
Nick Markakis,markani01,ATL,2018,14,623,90.54804270462634,10.16370106761566,25,22,19,98.9,100,101.585,100
Starling Marte,martest01,PIT,2018,20,559,88.14269662921349,9.092342342342345,26,23,21,98.9,100.32,102.24,96
J. D. Martinez,martijd02,BOS,2018,43,569,92.81787234042554,10.514893617021272,26,23,21,103.37500000000001,104.82,106.065,104
Whit Merrifield,merriwh01,KCA,2018,12,632,86.68511450381679,16.833652007648176,32,28,25,96.8,97.9,98.8,99
Yoan Moncada,moncayo01,CHA,2018,17,578,90.9535519125683,15.125683060109294,32,28,24,100.3,101.6,103.4,97
Matt Olson,olsonma02,OAK,2018,29,580,93.15579196217494,17.723404255319153,34.5,31,28,103.25,104.76,106.37,98
Marcell Ozuna,ozunama01,SLN,2018,23,582,91.46063157894737,10.833684210526318,29,24.799999999999955,21,102.9,104.2,106.49,97
David Peralta,peralda01,ARI,2018,30,560,91.61952277657267,6.70065075921909,24,20,17,102.6,104,105.7,108
Jose Peraza,perazjo01,CIN,2018,14,632,85.0665474060823,14.760286225402494,30.5,28,24,94.44999999999999,96.64,98.83,103
Jose Ramirez,ramirjo01,CLE,2018,39,578,88.91232604373758,18.984095427435395,36,32,28,97.95,99.1,100.9,104
Anthony Rizzo,rizzoan01,CHN,2018,25,566,90.03561368209256,14.55533199195171,32,28,24,100.3,101.6,103.1,107
Amed Rosario,rosaram01,NYN,2018,9,554,87.71067285382831,7.682134570765661,25,21,17,97.1,98.9,100.2,90
Eddie Rosario,rosared01,MIN,2018,24,559,87.71547085201794,17.83632286995516,36.75,33,29,97.65,98.9,100,102
Carlos Sanchez,sanchca01,CHA,2018,8,600,86.50672451193059,9.36659436008677,25,21,18,96,97.5,99.3,97
Carlos Santana,santaca01,PHI,2018,24,560,88.91535181236674,15.36247334754798,36,31,27,100.4,101.84,103.48,102
Kyle Seager,seageky01,SEA,2018,22,583,89.85122494432072,18.532293986636972,35,32,29,98.6,100.03999999999999,101.18,94
Jean Segura,segurje01,SEA,2018,10,586,87.49347408829175,7.859615384615387,26,21,18,97.2,98.7,100.9,94
Marcus Semien,semiema01,OAK,2018,15,632,86.86400778210117,15.285992217898825,32.75,29,26,97,98.24000000000001,99.805,98
Andrelton Simmons,simmoan01,LAA,2018,11,554,87.98060836501901,7.935361216730044,25.75,21,18,98.2,99.7,101.12499999999999,97
Giancarlo Stanton,stantmi03,NYA,2018,38,617,93.80839160839162,11.33100233100233,30,26,22,107.3,109.2,110.98,104
Trevor Story,storytr01,COL,2018,37,598,91.12489177489178,16.18181818181818,33,29,26,102.8,104.18,105.685,117
Trea Turner,turnetr01,WAS,2018,19,664,88.64049429657796,9.121673003802282,27,22,19,99.8,101.2,102.55,106
Christian Yelich,yelicch01,MIL,2018,36,574,92.0703781512605,4.768907563025211,21.25,17,15,103.4,105.1,106.4,102
Jose Abreu,abreujo02,CHA,2019,33,634,92.12945891783568,10.97995991983968,26,22,18,103,104.3,106,97
Ronald Acuna,acunaro01,ATL,2019,41,626,90.65087719298246,14.048245614035089,30,28,26,103.525,104.9,106.67500000000001,105
Nick Ahmed,ahmedni01,ARI,2019,19,556,87.91923890063426,7.596194503171241,27,23.399999999999977,20,97.7,98.86,100.6,101
Ozzie Albies,albieoz01,ATL,2019,24,640,88.93833634719711,15.783001808318266,33,29,24,98.2,99.6,100.9,105
Pete Alonso,alonspe01,NYN,2019,53,597,90.67184466019418,14.788834951456314,31,28,24,104.35,106.3,108.1,92
Elvis Andrus,andruel01,TEX,2019,12,600,88.41957364341086,7.277131782945741,24,20,17,97.72500000000001,99.3,101,111
Nolan Arenado,arenano01,COL,2019,41,588,89.53757115749526,17.9449715370019,34,31,27,99.19999999999999,100.8,102.41,118
Cody Bellinger,bellico01,LAN,2019,47,558,91.1042372881356,17.476694915254225,34,30,27,101.7,102.78,104.3,96
Mookie Betts,bettsmo01,BOS,2019,29,597,91.03032128514056,19.248995983935743,35,31.899999999999977,28,100,101.6,103.1,105
Charlie Blackmon,blackch02,COL,2019,32,580,88.4844930417495,14.443339960238564,31.5,28,25,99.6,100.86,102.57,118
Xander Bogaerts,bogaexa01,BOS,2019,33,614,90.65784114052953,13.354378818737269,30,27,24,100.2,102,104.15,105
Michael Brantley,brantmi02,HOU,2019,22,575,88.92103386809269,10.570409982174672,27,23,19,99.1,100.5,101.6,103
Alex Bregman,bregmal01,HOU,2019,41,554,89.39158699808796,19.219885277246657,37,32.39999999999998,29,98.55,99.9,101.2,103
